0.000000		3.450521		001
3.450521		38.835782		002
38.835782		88.643311		003
88.643311		127.648979	004
127.648979	154.653061	005
154.653061	181.807165	006
181.807165	200.109932	007
200.109932	228.914286	008
228.914286	259.668934	009
259.668934	282.022313	010
282.022313	323.128526	011
323.128526	351.482812	012
351.482812	379.987120	013
379.987120	426.494150	014
426.494150	482.602630	015
482.602630	537.510930	016
537.510930	579.667302	017
579.667302	608.021587	018
608.021587	626.174331	019
626.174331	654.678639	020
654.678639	730.886304	021
730.886304	773.042676	022
773.042676	818.649569	023
818.649569	870.257370	024
870.257370	897.861542	025
897.861542	949.169297	026
949.169297	976.323401	027
976.323401	1028.203673	028
1028.203673	1079.811474	029
1079.811474	1115.516871	030
1115.516871	1158.723401	031
1158.723401	1223.233152	032
1223.233152	1263.439229	033
1263.439229	1285.492562	034
1285.492562	1320.897914	035
1320.897914	1348.202041	036
1348.202041	1381.207029	037
1381.207029	1411.211565	038
1411.211565	1481.723945	039
1481.723945	1555.085034	040
1555.085034	1570.387347	041
1570.387347	1627.698639	042
1627.698639	1670.305079	043
1670.305079	1694.158685	044
1694.158685	1719.362494	045
1719.362494	1747.866803	046
1747.866803	1771.120317	047
1771.120317	1794.970521	048
1794.970521	1820.324354	049
1820.324354	1861.580590	050
1861.580590	1907.935782	051
1907.935782	1952.792562	052
1952.792562	1995.849070	053
1995.849070	2027.653877	054
2027.653877	2080.611882	055
2080.611882	2127.719002	056
2127.719002	2163.874467	057
2163.874467	2216.982494	058
2216.982494	2259.438911	059
2259.438911	2295.894422	060
2295.894422	2325.598912	061
2325.598912	2372.556009	062
2372.556009	2418.762993	063
2418.762993	2463.769796	064
2463.769796	2531.282630	065
2531.282630	2572.691701	066
2572.691701	2613.050703	067
2613.050703	2672.612381	068
2672.612381	2697.816190	069
2697.816190	2730.371111	070
2730.371111	2759.775555	071
2759.775555	2779.428526	072
2779.428526	2807.032698	073
2807.032698	2845.888571	074
2845.888571	2879.343628	075
2879.343628	2909.648209	076
2909.648209	2944.603492	077
2944.603492	2991.110521	078
2991.110521	3029.816372	079
3029.816372	3055.611293	080
3055.611293	3099.417914	081
3099.417914	3135.796000	082
