3.450521		38.835782		001
38.835782		88.643311		002
88.643311		127.648979	003
127.648979	154.653061	004
154.653061	181.807165	005
181.807165	200.109932	006
200.109932	228.914286	007
228.914286	259.668934	008
259.668934	282.022313	009
282.022313	323.128526	010
323.128526	351.482812	011
351.482812	379.987120	012
379.987120	426.494150	013
426.494150	482.602630	014
482.602630	537.510930	015
537.510930	579.667302	016
579.667302	608.021587	017
608.021587	626.174331	018
626.174331	654.678639	019
654.678639	730.886304	020
730.886304	773.042676	021
773.042676	818.649569	022
818.649569	870.257370	023
870.257370	897.861542	024
897.861542	949.169297	025
949.169297	976.323401	026
976.323401	1028.203673	027
1028.203673	1079.811474	028
1079.811474	1115.516871	029
1115.516871	1158.723401	030
1158.723401	1223.233152	031
1223.233152	1263.439229	032
1263.439229	1285.492562	033
1285.492562	1320.897914	034
1320.897914	1348.202041	035
1348.202041	1381.207029	036
1381.207029	1411.211565	037
1411.211565	1481.723945	038
1481.723945	1555.085034	039
1555.085034	1570.387347	040
1570.387347	1627.698639	041
1627.698639	1670.305079	042
1670.305079	1694.158685	043
1694.158685	1719.362494	044
1719.362494	1747.866803	045
1747.866803	1771.120317	046
1771.120317	1794.970521	047
1794.970521	1820.324354	048
1820.324354	1861.580590	049
1861.580590	1907.935782	050
1907.935782	1952.792562	051
1952.792562	1995.849070	052
1995.849070	2027.653877	053
2027.653877	2080.611882	054
2080.611882	2127.719002	055
2127.719002	2163.874467	056
2163.874467	2216.982494	057
2216.982494	2259.438911	058
2259.438911	2295.894422	059
2295.894422	2325.598912	060
2325.598912	2372.556009	061
2372.556009	2418.762993	062
2418.762993	2463.769796	063
2463.769796	2531.282630	064
2531.282630	2572.691701	065
2572.691701	2613.050703	066
2613.050703	2672.612381	067
2672.612381	2697.816190	068
2697.816190	2730.371111	069
2730.371111	2759.775555	070
2759.775555	2779.428526	071
2779.428526	2807.032698	072
2807.032698	2845.888571	073
2845.888571	2879.343628	074
2879.343628	2909.648209	075
2909.648209	2944.603492	076
2944.603492	2991.110521	077
2991.110521	3029.816372	078
3029.816372	3055.611293	079
3055.611293	3099.417914	080
3099.417914	3135.796000	081
